workload,speedup
bc,1.4713215814832954
bfs,1.055447678202362
cc,1.0709826592310099
dlrm,1.0551038866569904
gc,1.1997032955709592
gen,1.1997225580902993
pr,1.0358628651335282
rnd,1.279458940837945
sssp,1.1684198663187126
tc,1.0753121177942195
xs,1.0929970732808911
