workload,Victima No prefetcher,Victima Streamer,Victima IP Stride,Victima Next Line
bc,22.25,18.82,18.950676,15.62
bfs,142.97,140.37,142.262438,138.55
cc,173.33,170.99,172.682928,169.15
dlrm,142.95,140.36,142.25623,138.53
gc,118.02,116.97,116.2525,115.99
gen,118.02,116.97,116.248518,115.99
pr,130.19,126.66,128.9508,121.61
rnd,76.06,76.06,76.05932,76.03
sssp,149.19,148.15,147.870276,127.37
tc,20.08,19.08,19.101048,13.08
xs,33.62,33.35,33.326054,33.2
MEAN,102.43,100.71,101.27,96.83
