workload,Victima,Trash
bc,7.93,6.86
bfs,38.94,32.55
cc,47.26,39.87
dlrm,38.97,32.5
gc,38.87,29.73
gen,38.86,29.73
pr,19.74,16.67
rnd,37.64,0.03
sssp,47.81,40.59
tc,4.81,3.2
xs,5.85,0.25
Mean,29.69818181818182,21.089090909090906
