workload,Reuse 0,1-5,6-10,11-20,>20
bc,47.69,47.19,3.7,1.17,0.25
bfs,57.84,37.23,3.75,1.07,0.11
cc,57.82,37.0,3.87,1.18,0.14
dlrm,58.4,36.82,3.63,1.04,0.11
gc,66.93,28.87,2.33,1.13,0.74
gen,67.06,28.79,2.31,1.12,0.72
pr,58.37,36.92,2.57,0.98,1.17
rnd,29.41,0.0,0.0,0.0,70.59
sssp,62.18,35.63,1.64,0.27,0.27
tc,62.87,18.96,1.32,2.12,14.73
xs,23.15,15.9,7.56,8.95,44.44
MEAN,53.79272727272728,29.391818181818177,2.9709090909090907,1.7299999999999998,12.115454545454543
