Workload,Reuse 0,1-5,6-10,11-20,>20
bc,99.43,0.55,0.01,0.0,0.0
bfs,99.75,0.25,0.0,0.0,0.0
cc,99.75,0.25,0.0,0.0,0.0
dlrm,99.75,0.25,0.0,0.0,0.0
gc,97.44,2.42,0.08,0.03,0.03
gen,97.44,2.42,0.08,0.03,0.03
pr,99.87,0.13,0.0,0.0,0.0
rnd,99.77,0.23,0.0,0.0,0.0
sssp,99.36,0.62,0.01,0.01,0.0
tc,99.74,0.26,0.0,0.0,0.0
xs,99.1,0.85,0.03,0.02,0.01
Mean,99.2181818181818,0.7481818181818182,0.01909090909090909,0.00818181818181818,0.006363636363636363
