workload,Victima,TRASH
bc,31.07558528,38.88082214
bfs,47.56365663,53.98980129
cc,47.50761736,53.9079334
dlrm,48.24205571,54.5944658
gc,43.49588097,53.28904076
gen,43.52672604,53.33270245
pr,50.65989134,56.85576336
rnd,57.90383847,99.95216039
sssp,29.95476217,38.38542092
tc,34.47188306,52.94273898
xs,73.74626922,98.31613087
MEAN,46.19528784,59.49518003
